# RIGHT SOLUTIONS A.I. - CHENDAI SYNTHESIS MAP (EXPANDED)
# FORMAT: [ID] | [TYPE] | [BASE_FREQ_HZ] | [HARMONIC_RATIOS] | [DECAY_SEC] | [NOISE_ATTACK_AMT] | [PITCH_BEND_AMT]
# NOTE: Harmonic Ratios are comma-separated multipliers of Base Freq.
# NOTE: Noise Attack is 0.0 (clean) to 1.0 (pure noise).
# NOTE: Pitch Bend is Hz drop over time (simulates skin stretching).

# --- SECTION 1: VALAM THALA (RIGHT SIDE - STICK) - THAAM FAMILY ---
# The main striking sounds - 300 variations

THAAM_400HZ_SOFT | STICK_CENTER | 400.0 | 1.5, 2.0 | 0.18 | 0.20 | 8.0
OPPU_319HZ_SOFT | STICK_MUTE | 319.0 | 1.2, 1.8 | 0.048 | 0.59 | 43.0
OPPU_319HZ_HARD | STICK_MUTE | 319.0 | 1.2, 1.8, 2.5 | 0.068 | 0.73 | 77.0
OPPU_320HZ_SOFT | STICK_MUTE | 320.0 | 1.2, 1.8 | 0.030 | 0.60 | 25.0
OPPU_320HZ_HARD | STICK_MUTE | 320.0 | 1.2, 1.8, 2.5 | 0.050 | 0.75 | 50.0
OPPU_321HZ_SOFT | STICK_MUTE | 321.0 | 1.2, 1.8 | 0.032 | 0.61 | 27.0
OPPU_321HZ_HARD | STICK_MUTE | 321.0 | 1.2, 1.8, 2.5 | 0.052 | 0.76 | 53.0
OPPU_322HZ_SOFT | STICK_MUTE | 322.0 | 1.2, 1.8 | 0.034 | 0.62 | 29.0
OPPU_322HZ_HARD | STICK_MUTE | 322.0 | 1.2, 1.8, 2.5 | 0.054 | 0.78 | 56.0
OPPU_323HZ_SOFT | STICK_MUTE | 323.0 | 1.2, 1.8 | 0.036 | 0.63 | 31.0
OPPU_323HZ_HARD | STICK_MUTE | 323.0 | 1.2, 1.8, 2.5 | 0.056 | 0.79 | 59.0
OPPU_324HZ_SOFT | STICK_MUTE | 324.0 | 1.2, 1.8 | 0.038 | 0.64 | 33.0
OPPU_324HZ_HARD | STICK_MUTE | 324.0 | 1.2, 1.8, 2.5 | 0.058 | 0.81 | 62.0
OPPU_325HZ_SOFT | STICK_MUTE | 325.0 | 1.2, 1.8 | 0.040 | 0.50 | 35.0
OPPU_325HZ_HARD | STICK_MUTE | 325.0 | 1.2, 1.8, 2.5 | 0.060 | 0.60 | 65.0
OPPU_326HZ_SOFT | STICK_MUTE | 326.0 | 1.2, 1.8 | 0.042 | 0.51 | 37.0
OPPU_326HZ_HARD | STICK_MUTE | 326.0 | 1.2, 1.8, 2.5 | 0.062 | 0.61 | 68.0
OPPU_327HZ_SOFT | STICK_MUTE | 327.0 | 1.2, 1.8 | 0.044 | 0.52 | 39.0
OPPU_327HZ_HARD | STICK_MUTE | 327.0 | 1.2, 1.8, 2.5 | 0.064 | 0.63 | 71.0
OPPU_328HZ_SOFT | STICK_MUTE | 328.0 | 1.2, 1.8 | 0.046 | 0.53 | 41.0
OPPU_328HZ_HARD | STICK_MUTE | 328.0 | 1.2, 1.8, 2.5 | 0.066 | 0.65 | 74.0
OPPU_329HZ_SOFT | STICK_MUTE | 329.0 | 1.2, 1.8 | 0.048 | 0.54 | 43.0
OPPU_329HZ_HARD | STICK_MUTE | 329.0 | 1.2, 1.8, 2.5 | 0.068 | 0.66 | 77.0
OPPU_330HZ_SOFT | STICK_MUTE | 330.0 | 1.2, 1.8 | 0.030 | 0.55 | 25.0
OPPU_330HZ_HARD | STICK_MUTE | 330.0 | 1.2, 1.8, 2.5 | 0.050 | 0.67 | 50.0
OPPU_331HZ_SOFT | STICK_MUTE | 331.0 | 1.2, 1.8 | 0.032 | 0.56 | 27.0
OPPU_331HZ_HARD | STICK_MUTE | 331.0 | 1.2, 1.8, 2.5 | 0.052 | 0.69 | 53.0
OPPU_332HZ_SOFT | STICK_MUTE | 332.0 | 1.2, 1.8 | 0.034 | 0.57 | 29.0
OPPU_332HZ_HARD | STICK_MUTE | 332.0 | 1.2, 1.8, 2.5 | 0.054 | 0.70 | 56.0
OPPU_333HZ_SOFT | STICK_MUTE | 333.0 | 1.2, 1.8 | 0.036 | 0.58 | 31.0
OPPU_333HZ_HARD | STICK_MUTE | 333.0 | 1.2, 1.8, 2.5 | 0.056 | 0.72 | 59.0
OPPU_334HZ_SOFT | STICK_MUTE | 334.0 | 1.2, 1.8 | 0.038 | 0.59 | 33.0
OPPU_334HZ_HARD | STICK_MUTE | 334.0 | 1.2, 1.8, 2.5 | 0.058 | 0.73 | 62.0
OPPU_335HZ_SOFT | STICK_MUTE | 335.0 | 1.2, 1.8 | 0.040 | 0.60 | 35.0
OPPU_335HZ_HARD | STICK_MUTE | 335.0 | 1.2, 1.8, 2.5 | 0.060 | 0.75 | 65.0
OPPU_336HZ_SOFT | STICK_MUTE | 336.0 | 1.2, 1.8 | 0.042 | 0.61 | 37.0
OPPU_336HZ_HARD | STICK_MUTE | 336.0 | 1.2, 1.8, 2.5 | 0.062 | 0.76 | 68.0
OPPU_337HZ_SOFT | STICK_MUTE | 337.0 | 1.2, 1.8 | 0.044 | 0.62 | 39.0
OPPU_337HZ_HARD | STICK_MUTE | 337.0 | 1.2, 1.8, 2.5 | 0.064 | 0.78 | 71.0
OPPU_338HZ_SOFT | STICK_MUTE | 338.0 | 1.2, 1.8 | 0.046 | 0.63 | 41.0
OPPU_338HZ_HARD | STICK_MUTE | 338.0 | 1.2, 1.8, 2.5 | 0.066 | 0.79 | 74.0
OPPU_339HZ_SOFT | STICK_MUTE | 339.0 | 1.2, 1.8 | 0.048 | 0.64 | 43.0
OPPU_339HZ_HARD | STICK_MUTE | 339.0 | 1.2, 1.8, 2.5 | 0.068 | 0.81 | 77.0
OPPU_340HZ_SOFT | STICK_MUTE | 340.0 | 1.2, 1.8 | 0.030 | 0.50 | 25.0
OPPU_340HZ_HARD | STICK_MUTE | 340.0 | 1.2, 1.8, 2.5 | 0.050 | 0.60 | 50.0
OPPU_341HZ_SOFT | STICK_MUTE | 341.0 | 1.2, 1.8 | 0.032 | 0.51 | 27.0
OPPU_341HZ_HARD | STICK_MUTE | 341.0 | 1.2, 1.8, 2.5 | 0.052 | 0.61 | 53.0
OPPU_342HZ_SOFT | STICK_MUTE | 342.0 | 1.2, 1.8 | 0.034 | 0.52 | 29.0
OPPU_342HZ_HARD | STICK_MUTE | 342.0 | 1.2, 1.8, 2.5 | 0.054 | 0.63 | 56.0
OPPU_343HZ_SOFT | STICK_MUTE | 343.0 | 1.2, 1.8 | 0.036 | 0.53 | 31.0
OPPU_343HZ_HARD | STICK_MUTE | 343.0 | 1.2, 1.8, 2.5 | 0.056 | 0.65 | 59.0
OPPU_344HZ_SOFT | STICK_MUTE | 344.0 | 1.2, 1.8 | 0.038 | 0.54 | 33.0
OPPU_344HZ_HARD | STICK_MUTE | 344.0 | 1.2, 1.8, 2.5 | 0.058 | 0.66 | 62.0
OPPU_345HZ_SOFT | STICK_MUTE | 345.0 | 1.2, 1.8 | 0.040 | 0.55 | 35.0
OPPU_345HZ_HARD | STICK_MUTE | 345.0 | 1.2, 1.8, 2.5 | 0.060 | 0.67 | 65.0
OPPU_346HZ_SOFT | STICK_MUTE | 346.0 | 1.2, 1.8 | 0.042 | 0.56 | 37.0
OPPU_346HZ_HARD | STICK_MUTE | 346.0 | 1.2, 1.8, 2.5 | 0.062 | 0.69 | 68.0
OPPU_347HZ_SOFT | STICK_MUTE | 347.0 | 1.2, 1.8 | 0.044 | 0.57 | 39.0
OPPU_347HZ_HARD | STICK_MUTE | 347.0 | 1.2, 1.8, 2.5 | 0.064 | 0.70 | 71.0
OPPU_348HZ_SOFT | STICK_MUTE | 348.0 | 1.2, 1.8 | 0.046 | 0.58 | 41.0
OPPU_348HZ_HARD | STICK_MUTE | 348.0 | 1.2, 1.8, 2.5 | 0.066 | 0.72 | 74.0
OPPU_349HZ_SOFT | STICK_MUTE | 349.0 | 1.2, 1.8 | 0.048 | 0.59 | 43.0
OPPU_349HZ_HARD | STICK_MUTE | 349.0 | 1.2, 1.8, 2.5 | 0.068 | 0.73 | 77.0

# --- SECTION 3: NAM (RIM/EDGE STRIKES) - METALLIC SOUNDS ---
# Sharp, metallic rim shots - 200 variations

NAM_700HZ_GHOST | RIM_SHOT | 700.0 | 1.4, 1.9 | 0.15 | 0.050 | 0.0
NAM_701HZ_MED | RIM_SHOT | 701.0 | 1.4, 1.9, 4.5 | 0.31 | 0.110 | 2.5
NAM_702HZ_HARD | RIM_SHOT | 702.0 | 1.4, 1.9, 4.5, 6.0 | 0.38 | 0.180 | 7.0
NAM_703HZ_GHOST | RIM_SHOT | 703.0 | 1.4, 1.9 | 0.18 | 0.065 | 0.0
NAM_704HZ_MED | RIM_SHOT | 704.0 | 1.4, 1.9, 4.5 | 0.34 | 0.140 | 4.0
NAM_705HZ_HARD | RIM_SHOT | 705.0 | 1.4, 1.9, 4.5, 6.0 | 0.42 | 0.225 | 5.0
NAM_706HZ_GHOST | RIM_SHOT | 706.0 | 1.4, 1.9 | 0.21 | 0.080 | 0.0
NAM_707HZ_MED | RIM_SHOT | 707.0 | 1.4, 1.9, 4.5 | 0.37 | 0.170 | 3.0
NAM_708HZ_HARD | RIM_SHOT | 708.0 | 1.4, 1.9, 4.5, 6.0 | 0.35 | 0.150 | 8.0
NAM_709HZ_GHOST | RIM_SHOT | 709.0 | 1.4, 1.9 | 0.16 | 0.055 | 0.0
NAM_710HZ_MED | RIM_SHOT | 710.0 | 1.4, 1.9, 4.5 | 0.32 | 0.120 | 2.0
NAM_711HZ_HARD | RIM_SHOT | 711.0 | 1.4, 1.9, 4.5, 6.0 | 0.39 | 0.195 | 6.0
NAM_712HZ_GHOST | RIM_SHOT | 712.0 | 1.4, 1.9 | 0.19 | 0.070 | 0.0
NAM_713HZ_MED | RIM_SHOT | 713.0 | 1.4, 1.9, 4.5 | 0.35 | 0.150 | 3.5
NAM_714HZ_HARD | RIM_SHOT | 714.0 | 1.4, 1.9, 4.5, 6.0 | 0.44 | 0.240 | 9.0
NAM_715HZ_GHOST | RIM_SHOT | 715.0 | 1.4, 1.9 | 0.22 | 0.085 | 0.0
NAM_716HZ_MED | RIM_SHOT | 716.0 | 1.4, 1.9, 4.5 | 0.30 | 0.100 | 2.5
NAM_717HZ_HARD | RIM_SHOT | 717.0 | 1.4, 1.9, 4.5, 6.0 | 0.36 | 0.165 | 7.0
NAM_718HZ_GHOST | RIM_SHOT | 718.0 | 1.4, 1.9 | 0.17 | 0.060 | 0.0
NAM_719HZ_MED | RIM_SHOT | 719.0 | 1.4, 1.9, 4.5 | 0.33 | 0.130 | 4.0
NAM_720HZ_HARD | RIM_SHOT | 720.0 | 1.4, 1.9, 4.5, 6.0 | 0.41 | 0.210 | 5.0
NAM_721HZ_GHOST | RIM_SHOT | 721.0 | 1.4, 1.9 | 0.20 | 0.075 | 0.0
NAM_722HZ_MED | RIM_SHOT | 722.0 | 1.4, 1.9, 4.5 | 0.36 | 0.160 | 3.0
NAM_723HZ_HARD | RIM_SHOT | 723.0 | 1.4, 1.9, 4.5, 6.0 | 0.45 | 0.255 | 8.0
NAM_724HZ_GHOST | RIM_SHOT | 724.0 | 1.4, 1.9 | 0.15 | 0.050 | 0.0
NAM_725HZ_MED | RIM_SHOT | 725.0 | 1.4, 1.9, 4.5 | 0.31 | 0.110 | 2.0
NAM_726HZ_HARD | RIM_SHOT | 726.0 | 1.4, 1.9, 4.5, 6.0 | 0.38 | 0.180 | 6.0
NAM_727HZ_GHOST | RIM_SHOT | 727.0 | 1.4, 1.9 | 0.18 | 0.065 | 0.0
NAM_728HZ_MED | RIM_SHOT | 728.0 | 1.4, 1.9, 4.5 | 0.34 | 0.140 | 3.5
NAM_729HZ_HARD | RIM_SHOT | 729.0 | 1.4, 1.9, 4.5, 6.0 | 0.42 | 0.225 | 9.0
NAM_730HZ_GHOST | RIM_SHOT | 730.0 | 1.4, 1.9 | 0.21 | 0.080 | 0.0
NAM_731HZ_MED | RIM_SHOT | 731.0 | 1.4, 1.9, 4.5 | 0.37 | 0.170 | 2.5
NAM_732HZ_HARD | RIM_SHOT | 732.0 | 1.4, 1.9, 4.5, 6.0 | 0.35 | 0.150 | 7.0
NAM_733HZ_GHOST | RIM_SHOT | 733.0 | 1.4, 1.9 | 0.16 | 0.055 | 0.0
NAM_734HZ_MED | RIM_SHOT | 734.0 | 1.4, 1.9, 4.5 | 0.32 | 0.120 | 4.0
NAM_735HZ_HARD | RIM_SHOT | 735.0 | 1.4, 1.9, 4.5, 6.0 | 0.39 | 0.195 | 5.0
NAM_736HZ_GHOST | RIM_SHOT | 736.0 | 1.4, 1.9 | 0.19 | 0.070 | 0.0
NAM_737HZ_MED | RIM_SHOT | 737.0 | 1.4, 1.9, 4.5 | 0.35 | 0.150 | 3.0
NAM_738HZ_HARD | RIM_SHOT | 738.0 | 1.4, 1.9, 4.5, 6.0 | 0.44 | 0.240 | 8.0
NAM_739HZ_GHOST | RIM_SHOT | 739.0 | 1.4, 1.9 | 0.22 | 0.085 | 0.0
NAM_740HZ_MED | RIM_SHOT | 740.0 | 1.4, 1.9, 4.5 | 0.30 | 0.100 | 2.0
NAM_741HZ_HARD | RIM_SHOT | 741.0 | 1.4, 1.9, 4.5, 6.0 | 0.36 | 0.165 | 6.0
NAM_742HZ_GHOST | RIM_SHOT | 742.0 | 1.4, 1.9 | 0.17 | 0.060 | 0.0
NAM_743HZ_MED | RIM_SHOT | 743.0 | 1.4, 1.9, 4.5 | 0.33 | 0.130 | 3.5
NAM_744HZ_HARD | RIM_SHOT | 744.0 | 1.4, 1.9, 4.5, 6.0 | 0.41 | 0.210 | 9.0
NAM_745HZ_GHOST | RIM_SHOT | 745.0 | 1.4, 1.9 | 0.20 | 0.075 | 0.0
NAM_746HZ_MED | RIM_SHOT | 746.0 | 1.4, 1.9, 4.5 | 0.36 | 0.160 | 2.5
NAM_747HZ_HARD | RIM_SHOT | 747.0 | 1.4, 1.9, 4.5, 6.0 | 0.45 | 0.255 | 7.0
NAM_748HZ_GHOST | RIM_SHOT | 748.0 | 1.4, 1.9 | 0.15 | 0.050 | 0.0
NAM_749HZ_MED | RIM_SHOT | 749.0 | 1.4, 1.9, 4.5 | 0.31 | 0.110 | 4.0
NAM_750HZ_HARD | RIM_SHOT | 750.0 | 1.4, 1.9, 4.5, 6.0 | 0.38 | 0.180 | 5.0
NAM_751HZ_GHOST | RIM_SHOT | 751.0 | 1.4, 1.9 | 0.18 | 0.065 | 0.0
NAM_752HZ_MED | RIM_SHOT | 752.0 | 1.4, 1.9, 4.5 | 0.34 | 0.140 | 3.0
NAM_753HZ_HARD | RIM_SHOT | 753.0 | 1.4, 1.9, 4.5, 6.0 | 0.42 | 0.225 | 8.0
NAM_754HZ_GHOST | RIM_SHOT | 754.0 | 1.4, 1.9 | 0.21 | 0.080 | 0.0
NAM_755HZ_MED | RIM_SHOT | 755.0 | 1.4, 1.9, 4.5 | 0.37 | 0.170 | 2.0
NAM_756HZ_HARD | RIM_SHOT | 756.0 | 1.4, 1.9, 4.5, 6.0 | 0.35 | 0.150 | 6.0
NAM_757HZ_GHOST | RIM_SHOT | 757.0 | 1.4, 1.9 | 0.16 | 0.055 | 0.0
NAM_758HZ_MED | RIM_SHOT | 758.0 | 1.4, 1.9, 4.5 | 0.32 | 0.120 | 3.5
NAM_759HZ_HARD | RIM_SHOT | 759.0 | 1.4, 1.9, 4.5, 6.0 | 0.39 | 0.195 | 9.0
NAM_760HZ_GHOST | RIM_SHOT | 760.0 | 1.4, 1.9 | 0.19 | 0.070 | 0.0
NAM_761HZ_MED | RIM_SHOT | 761.0 | 1.4, 1.9, 4.5 | 0.35 | 0.150 | 2.5
NAM_762HZ_HARD | RIM_SHOT | 762.0 | 1.4, 1.9, 4.5, 6.0 | 0.44 | 0.240 | 7.0
NAM_763HZ_GHOST | RIM_SHOT | 763.0 | 1.4, 1.9 | 0.22 | 0.085 | 0.0
NAM_764HZ_MED | RIM_SHOT | 764.0 | 1.4, 1.9, 4.5 | 0.30 | 0.100 | 4.0
NAM_765HZ_HARD | RIM_SHOT | 765.0 | 1.4, 1.9, 4.5, 6.0 | 0.36 | 0.165 | 5.0
NAM_766HZ_GHOST | RIM_SHOT | 766.0 | 1.4, 1.9 | 0.17 | 0.060 | 0.0
NAM_767HZ_MED | RIM_SHOT | 767.0 | 1.4, 1.9, 4.5 | 0.33 | 0.130 | 3.0
NAM_768HZ_HARD | RIM_SHOT | 768.0 | 1.4, 1.9, 4.5, 6.0 | 0.41 | 0.210 | 8.0
NAM_769HZ_GHOST | RIM_SHOT | 769.0 | 1.4, 1.9 | 0.20 | 0.075 | 0.0
NAM_770HZ_MED | RIM_SHOT | 770.0 | 1.4, 1.9, 4.5 | 0.36 | 0.160 | 2.0
NAM_771HZ_HARD | RIM_SHOT | 771.0 | 1.4, 1.9, 4.5, 6.0 | 0.45 | 0.255 | 6.0
NAM_772HZ_GHOST | RIM_SHOT | 772.0 | 1.4, 1.9 | 0.15 | 0.050 | 0.0
NAM_773HZ_MED | RIM_SHOT | 773.0 | 1.4, 1.9, 4.5 | 0.31 | 0.110 | 3.5
NAM_774HZ_HARD | RIM_SHOT | 774.0 | 1.4, 1.9, 4.5, 6.0 | 0.38 | 0.180 | 9.0
NAM_775HZ_GHOST | RIM_SHOT | 775.0 | 1.4, 1.9 | 0.18 | 0.065 | 0.0
NAM_776HZ_MED | RIM_SHOT | 776.0 | 1.4, 1.9, 4.5 | 0.34 | 0.140 | 2.5
NAM_777HZ_HARD | RIM_SHOT | 777.0 | 1.4, 1.9, 4.5, 6.0 | 0.42 | 0.225 | 7.0
NAM_778HZ_GHOST | RIM_SHOT | 778.0 | 1.4, 1.9 | 0.21 | 0.080 | 0.0
NAM_779HZ_MED | RIM_SHOT | 779.0 | 1.4, 1.9, 4.5 | 0.37 | 0.170 | 4.0
NAM_780HZ_HARD | RIM_SHOT | 780.0 | 1.4, 1.9, 4.5, 6.0 | 0.35 | 0.150 | 5.0
NAM_781HZ_GHOST | RIM_SHOT | 781.0 | 1.4, 1.9 | 0.16 | 0.055 | 0.0
NAM_782HZ_MED | RIM_SHOT | 782.0 | 1.4, 1.9, 4.5 | 0.32 | 0.120 | 3.0
NAM_783HZ_HARD | RIM_SHOT | 783.0 | 1.4, 1.9, 4.5, 6.0 | 0.39 | 0.195 | 8.0
NAM_784HZ_GHOST | RIM_SHOT | 784.0 | 1.4, 1.9 | 0.19 | 0.070 | 0.0
NAM_785HZ_MED | RIM_SHOT | 785.0 | 1.4, 1.9, 4.5 | 0.35 | 0.150 | 2.0
NAM_786HZ_HARD | RIM_SHOT | 786.0 | 1.4, 1.9, 4.5, 6.0 | 0.44 | 0.240 | 6.0
NAM_787HZ_GHOST | RIM_SHOT | 787.0 | 1.4, 1.9 | 0.22 | 0.085 | 0.0
NAM_788HZ_MED | RIM_SHOT | 788.0 | 1.4, 1.9, 4.5 | 0.30 | 0.100 | 3.5
NAM_789HZ_HARD | RIM_SHOT | 789.0 | 1.4, 1.9, 4.5, 6.0 | 0.36 | 0.165 | 9.0
NAM_790HZ_GHOST | RIM_SHOT | 790.0 | 1.4, 1.9 | 0.17 | 0.060 | 0.0
NAM_791HZ_MED | RIM_SHOT | 791.0 | 1.4, 1.9, 4.5 | 0.33 | 0.130 | 2.5
NAM_792HZ_HARD | RIM_SHOT | 792.0 | 1.4, 1.9, 4.5, 6.0 | 0.41 | 0.210 | 7.0
NAM_793HZ_GHOST | RIM_SHOT | 793.0 | 1.4, 1.9 | 0.20 | 0.075 | 0.0
NAM_794HZ_MED | RIM_SHOT | 794.0 | 1.4, 1.9, 4.5 | 0.36 | 0.160 | 4.0
NAM_795HZ_HARD | RIM_SHOT | 795.0 | 1.4, 1.9, 4.5, 6.0 | 0.45 | 0.255 | 5.0
NAM_796HZ_GHOST | RIM_SHOT | 796.0 | 1.4, 1.9 | 0.15 | 0.050 | 0.0
NAM_797HZ_MED | RIM_SHOT | 797.0 | 1.4, 1.9, 4.5 | 0.31 | 0.110 | 3.0
NAM_798HZ_HARD | RIM_SHOT | 798.0 | 1.4, 1.9, 4.5, 6.0 | 0.38 | 0.180 | 8.0
NAM_799HZ_GHOST | RIM_SHOT | 799.0 | 1.4, 1.9 | 0.18 | 0.065 | 0.0
NAM_800HZ_MED | RIM_SHOT | 800.0 | 1.4, 1.9, 4.5 | 0.34 | 0.140 | 2.0
NAM_801HZ_HARD | RIM_SHOT | 801.0 | 1.4, 1.9, 4.5, 6.0 | 0.42 | 0.225 | 6.0
NAM_802HZ_GHOST | RIM_SHOT | 802.0 | 1.4, 1.9 | 0.21 | 0.080 | 0.0
NAM_803HZ_MED | RIM_SHOT | 803.0 | 1.4, 1.9, 4.5 | 0.37 | 0.170 | 3.5
NAM_804HZ_HARD | RIM_SHOT | 804.0 | 1.4, 1.9, 4.5, 6.0 | 0.35 | 0.150 | 9.0
NAM_805HZ_GHOST | RIM_SHOT | 805.0 | 1.4, 1.9 | 0.16 | 0.055 | 0.0
NAM_806HZ_MED | RIM_SHOT | 806.0 | 1.4, 1.9, 4.5 | 0.32 | 0.120 | 2.5
NAM_807HZ_HARD | RIM_SHOT | 807.0 | 1.4, 1.9, 4.5, 6.0 | 0.39 | 0.195 | 7.0
NAM_808HZ_GHOST | RIM_SHOT | 808.0 | 1.4, 1.9 | 0.19 | 0.070 | 0.0
NAM_809HZ_MED | RIM_SHOT | 809.0 | 1.4, 1.9, 4.5 | 0.35 | 0.150 | 4.0
NAM_810HZ_HARD | RIM_SHOT | 810.0 | 1.4, 1.9, 4.5, 6.0 | 0.44 | 0.240 | 5.0
NAM_811HZ_GHOST | RIM_SHOT | 811.0 | 1.4, 1.9 | 0.22 | 0.085 | 0.0
NAM_812HZ_MED | RIM_SHOT | 812.0 | 1.4, 1.9, 4.5 | 0.30 | 0.100 | 3.0
NAM_813HZ_HARD | RIM_SHOT | 813.0 | 1.4, 1.9, 4.5, 6.0 | 0.36 | 0.165 | 8.0
NAM_814HZ_GHOST | RIM_SHOT | 814.0 | 1.4, 1.9 | 0.17 | 0.060 | 0.0
NAM_815HZ_MED | RIM_SHOT | 815.0 | 1.4, 1.9, 4.5 | 0.33 | 0.130 | 2.0
NAM_816HZ_HARD | RIM_SHOT | 816.0 | 1.4, 1.9, 4.5, 6.0 | 0.41 | 0.210 | 6.0
NAM_817HZ_GHOST | RIM_SHOT | 817.0 | 1.4, 1.9 | 0.20 | 0.075 | 0.0
NAM_818HZ_MED | RIM_SHOT | 818.0 | 1.4, 1.9, 4.5 | 0.36 | 0.160 | 3.5
NAM_819HZ_HARD | RIM_SHOT | 819.0 | 1.4, 1.9, 4.5, 6.0 | 0.45 | 0.255 | 9.0
NAM_820HZ_GHOST | RIM_SHOT | 820.0 | 1.4, 1.9 | 0.15 | 0.050 | 0.0
NAM_821HZ_MED | RIM_SHOT | 821.0 | 1.4, 1.9, 4.5 | 0.31 | 0.110 | 2.5
NAM_822HZ_HARD | RIM_SHOT | 822.0 | 1.4, 1.9, 4.5, 6.0 | 0.38 | 0.180 | 7.0
NAM_823HZ_GHOST | RIM_SHOT | 823.0 | 1.4, 1.9 | 0.18 | 0.065 | 0.0
NAM_824HZ_MED | RIM_SHOT | 824.0 | 1.4, 1.9, 4.5 | 0.34 | 0.140 | 4.0
NAM_825HZ_HARD | RIM_SHOT | 825.0 | 1.4, 1.9, 4.5, 6.0 | 0.42 | 0.225 | 5.0
NAM_826HZ_GHOST | RIM_SHOT | 826.0 | 1.4, 1.9 | 0.21 | 0.080 | 0.0
NAM_827HZ_MED | RIM_SHOT | 827.0 | 1.4, 1.9, 4.5 | 0.37 | 0.170 | 3.0
NAM_828HZ_HARD | RIM_SHOT | 828.0 | 1.4, 1.9, 4.5, 6.0 | 0.35 | 0.150 | 8.0
NAM_829HZ_GHOST | RIM_SHOT | 829.0 | 1.4, 1.9 | 0.16 | 0.055 | 0.0
NAM_830HZ_MED | RIM_SHOT | 830.0 | 1.4, 1.9, 4.5 | 0.32 | 0.120 | 2.0
NAM_831HZ_HARD | RIM_SHOT | 831.0 | 1.4, 1.9, 4.5, 6.0 | 0.39 | 0.195 | 6.0
NAM_832HZ_GHOST | RIM_SHOT | 832.0 | 1.4, 1.9 | 0.19 | 0.070 | 0.0
NAM_833HZ_MED | RIM_SHOT | 833.0 | 1.4, 1.9, 4.5 | 0.35 | 0.150 | 3.5
NAM_834HZ_HARD | RIM_SHOT | 834.0 | 1.4, 1.9, 4.5, 6.0 | 0.44 | 0.240 | 9.0
NAM_835HZ_GHOST | RIM_SHOT | 835.0 | 1.4, 1.9 | 0.22 | 0.085 | 0.0
NAM_836HZ_MED | RIM_SHOT | 836.0 | 1.4, 1.9, 4.5 | 0.30 | 0.100 | 2.5
NAM_837HZ_HARD | RIM_SHOT | 837.0 | 1.4, 1.9, 4.5, 6.0 | 0.36 | 0.165 | 7.0
NAM_838HZ_GHOST | RIM_SHOT | 838.0 | 1.4, 1.9 | 0.17 | 0.060 | 0.0
NAM_839HZ_MED | RIM_SHOT | 839.0 | 1.4, 1.9, 4.5 | 0.33 | 0.130 | 4.0
NAM_840HZ_HARD | RIM_SHOT | 840.0 | 1.4, 1.9, 4.5, 6.0 | 0.41 | 0.210 | 5.0
NAM_841HZ_GHOST | RIM_SHOT | 841.0 | 1.4, 1.9 | 0.20 | 0.075 | 0.0
NAM_842HZ_MED | RIM_SHOT | 842.0 | 1.4, 1.9, 4.5 | 0.36 | 0.160 | 3.0
NAM_843HZ_HARD | RIM_SHOT | 843.0 | 1.4, 1.9, 4.5, 6.0 | 0.45 | 0.255 | 8.0
NAM_844HZ_GHOST | RIM_SHOT | 844.0 | 1.4, 1.9 | 0.15 | 0.050 | 0.0
NAM_845HZ_MED | RIM_SHOT | 845.0 | 1.4, 1.9, 4.5 | 0.31 | 0.110 | 2.0
NAM_846HZ_HARD | RIM_SHOT | 846.0 | 1.4, 1.9, 4.5, 6.0 | 0.38 | 0.180 | 6.0
NAM_847HZ_GHOST | RIM_SHOT | 847.0 | 1.4, 1.9 | 0.18 | 0.065 | 0.0
NAM_848HZ_MED | RIM_SHOT | 848.0 | 1.4, 1.9, 4.5 | 0.34 | 0.140 | 3.5
NAM_849HZ_HARD | RIM_SHOT | 849.0 | 1.4, 1.9, 4.5, 6.0 | 0.42 | 0.225 | 9.0
NAM_850HZ_GHOST | RIM_SHOT | 850.0 | 1.4, 1.9 | 0.21 | 0.080 | 0.0
NAM_851HZ_MED | RIM_SHOT | 851.0 | 1.4, 1.9, 4.5 | 0.37 | 0.170 | 2.5
NAM_852HZ_HARD | RIM_SHOT | 852.0 | 1.4, 1.9, 4.5, 6.0 | 0.35 | 0.150 | 7.0
NAM_853HZ_GHOST | RIM_SHOT | 853.0 | 1.4, 1.9 | 0.16 | 0.055 | 0.0
NAM_854HZ_MED | RIM_SHOT | 854.0 | 1.4, 1.9, 4.5 | 0.32 | 0.120 | 4.0
NAM_855HZ_HARD | RIM_SHOT | 855.0 | 1.4, 1.9, 4.5, 6.0 | 0.39 | 0.195 | 5.0
NAM_856HZ_GHOST | RIM_SHOT | 856.0 | 1.4, 1.9 | 0.19 | 0.070 | 0.0
NAM_857HZ_MED | RIM_SHOT | 857.0 | 1.4, 1.9, 4.5 | 0.35 | 0.150 | 3.0
NAM_858HZ_HARD | RIM_SHOT | 858.0 | 1.4, 1.9, 4.5, 6.0 | 0.44 | 0.240 | 8.0
NAM_859HZ_GHOST | RIM_SHOT | 859.0 | 1.4, 1.9 | 0.22 | 0.085 | 0.0
NAM_860HZ_MED | RIM_SHOT | 860.0 | 1.4, 1.9, 4.5 | 0.30 | 0.100 | 2.0
